timeStamp,elapsed,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
946681265660,605,200,,Thread-Gruppe 1-3,text,true,,9118,150,15,15,null,605,0,0
946681264969,1296,200,,Thread-Gruppe 1-12,text,true,,10250,402,15,15,null,519,0,0
946681264969,519,302,,Thread-Gruppe 1-12,,true,,1132,252,15,15,null,519,0,0
946681265488,777,200,,Thread-Gruppe 1-12,text,true,,9118,150,15,15,null,777,0,0
946681265776,592,200,,Thread-Gruppe 1-15,text,true,,9118,150,15,15,null,592,0,0
946681265870,542,200,,Thread-Gruppe 1-6,text,true,,9118,150,15,15,null,498,0,0
946681265266,1402,200,,Thread-Gruppe 1-11,text,true,,9921,429,15,15,null,604,0,0
946681265266,604,302,,Thread-Gruppe 1-11,,true,,803,279,15,15,null,604,0,0
946681265870,798,200,,Thread-Gruppe 1-11,text,true,,9118,150,15,15,null,798,0,0
946681265872,905,200,,Thread-Gruppe 1-14,text,true,,9921,429,15,15,null,389,0,0
946681265872,389,302,,Thread-Gruppe 1-14,,true,,803,279,15,15,null,389,0,0
946681266261,516,200,,Thread-Gruppe 1-14,text,true,,9118,150,15,15,null,516,0,0
946681266265,697,200,,Thread-Gruppe 1-12,text,true,,9118,150,15,15,null,599,0,0
946681265700,1608,200,,Thread-Gruppe 1-1,text,true,,97994,176,15,15,null,1568,0,0
946681265986,1389,200,,Thread-Gruppe 1-4,text,true,,112658,176,15,15,null,1259,0,0
946681266368,1032,200,,Thread-Gruppe 1-13,text,true,,9922,429,15,15,null,410,0,0
946681266368,410,302,,Thread-Gruppe 1-13,,true,,804,279,15,15,null,410,0,0
946681266778,622,200,,Thread-Gruppe 1-13,text,true,,9118,150,15,15,null,622,0,0
946681265982,1431,200,,Thread-Gruppe 1-9,text,true,,105228,176,15,15,null,1253,0,0
946681265875,1570,200,,Thread-Gruppe 1-10,text,true,,97994,176,15,15,null,1395,0,0
946681266470,1003,200,,Thread-Gruppe 1-6,text,true,,9921,428,15,15,null,307,0,0
946681266470,307,302,,Thread-Gruppe 1-6,,true,,803,278,15,15,null,307,0,0
946681266778,695,200,,Thread-Gruppe 1-6,text,true,,9118,150,15,15,null,695,0,0
946681266376,1294,200,,Thread-Gruppe 1-15,text,true,,9921,429,15,15,null,859,0,0
946681266376,859,302,,Thread-Gruppe 1-15,,true,,803,279,15,15,null,859,0,0
946681267235,435,200,,Thread-Gruppe 1-15,text,true,,9118,150,15,15,null,433,0,0
946681266261,1433,200,,Thread-Gruppe 1-8,text,true,,105228,176,15,15,null,1109,0,0
946681266265,2207,200,,Thread-Gruppe 1-3,text,true,,112658,176,15,15,null,1200,0,0
946681266668,2151,200,,Thread-Gruppe 1-11,text,true,,112658,176,15,15,null,1201,0,0
946681266963,2009,200,,Thread-Gruppe 1-12,text,true,,9919,429,15,15,null,407,0,0
946681266963,407,302,,Thread-Gruppe 1-12,,true,,801,279,15,15,null,407,0,0
946681267370,1602,200,,Thread-Gruppe 1-12,text,true,,9118,150,15,15,null,1602,0,0
946681266778,2194,200,,Thread-Gruppe 1-14,text,true,,112658,176,15,15,null,1694,0,0
946681267670,1818,200,,Thread-Gruppe 1-15,text,true,,112658,176,15,15,null,1395,0,0
946681267473,2487,200,,Thread-Gruppe 1-6,text,true,,123956,176,15,15,null,2012,0,0
946681267400,2867,200,,Thread-Gruppe 1-13,text,true,,151559,176,15,15,null,1764,0,0
946681268972,2809,200,,Thread-Gruppe 1-12,text,true,,112658,176,15,15,null,2696,0,0
946681267695,10844,200,,Thread-Gruppe 1-8,text,true,,101431,164,15,15,null,10610,0,0
946681268973,9595,200,,Thread-Gruppe 1-14,text,true,,103253,164,15,15,null,9353,0,0
946681269961,8615,200,,Thread-Gruppe 1-6,text,true,,119822,164,15,15,null,8216,0,0
946681267308,11343,200,,Thread-Gruppe 1-1,text,true,,98898,163,15,15,null,10995,0,0
946681267414,11237,200,,Thread-Gruppe 1-9,text,true,,101163,164,15,15,null,10907,0,0
946681267446,11206,200,,Thread-Gruppe 1-10,text,true,,102175,163,15,15,null,10880,0,0
